ID,企业名称,产品线,行业,来源,已知应用名,发现时间
184,和上海艾为电子,钉钉,,"搜索引擎/sogou/""钉钉"" 客户列表",,2026-03-05 08:24:00
185,技术股份,钉钉,,"搜索引擎/sogou/""钉钉"" 客户列表",,2026-03-05 08:24:00
186,以下简称艾为电子,钉钉,,"搜索引擎/sogou/""钉钉"" 客户列表",,2026-03-05 08:24:00
187,网易科技,钉钉,,"搜索引擎/sogou/""钉钉"" 客户列表",,2026-03-05 08:24:00
188,钉钉客户管理续费订单号信息,钉钉,,"搜索引擎/sogou/""钉钉"" 客户列表",,2026-03-05 08:24:00
189,是国内领先的现代农业和食品产业集团,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
190,创新建设,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
191,连接企业已有的信息,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
192,山东京博控股,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
193,组织和职业经理人合夥出资兴办的多元化工业集团,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
194,销售服务网络,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
195,以用户为中心,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
196,加强了京博的信息,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
197,安全建设,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
198,业务和集团,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
199,业务及集团,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
200,内各部门之间信息,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
201,销售为一体的现代型食品公司,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
202,实时信息,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
203,针对食品加工行业必须解决的仓储物流,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
204,在一个群内就可以实时监测物流,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
205,实现对物流,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
206,是经原中国保险,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
207,监督管理委员会,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
208,日注册登记的全国性寿险公司,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
209,致力于为广大客户提供更为便捷的综合金融,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
210,信泰保险,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
211,专属钉钉不仅为信泰保险,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
212,推动信泰保险,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
213,并让任何一个企业都能够拥有和大型金融,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
214,上海艾为电子,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
215,是一家芯片设计公司,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
216,艾为电子,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:24:04
217,本土大型公交集团,钉钉,,"搜索引擎/sogou/""钉钉"" 签约",,2026-03-05 08:24:25
218,钉钉与荣怀集团,钉钉,,"搜索引擎/sogou/""钉钉"" 签约",,2026-03-05 08:24:25
219,共建民办集团,钉钉,,"搜索引擎/sogou/""钉钉"" 签约",,2026-03-05 08:24:25
220,提升物流,钉钉,,"搜索引擎/sogou/""钉钉"" 签约",,2026-03-05 08:24:25
221,德新燃科技,钉钉,,"搜索引擎/sogou/""钉钉"" 签约",,2026-03-05 08:24:25
222,日下午上海德新燃科技,钉钉,,"搜索引擎/sogou/""钉钉"" 签约",,2026-03-05 08:24:25
223,钉钉与澳门公交集团,钉钉,,"搜索引擎/sogou/""钉钉"" 签约",,2026-03-05 08:24:25
224,海亮科技,钉钉,,"搜索引擎/sogou/""钉钉"" 签约",,2026-03-05 08:24:25
225,钉钉点签电子,钉钉,,"搜索引擎/sogou/""钉钉"" 签约",,2026-03-05 08:24:25
226,怎么在钉钉上使用点签电子,钉钉,,"搜索引擎/sogou/""钉钉"" 签约",,2026-03-05 08:24:25
227,动点科技,钉钉,,搜索引擎/sogou/政务钉钉 上线,,2026-03-05 08:25:18
228,新闻中心,钉钉,,搜索引擎/sogou/政务钉钉 上线,,2026-03-05 08:25:18
229,促公开政务钉钉在世界互联网,钉钉,,搜索引擎/sogou/政务钉钉 上线,,2026-03-05 08:25:18
230,乌镇第六届世界互联网,钉钉,,搜索引擎/sogou/政务钉钉 上线,,2026-03-05 08:25:18
231,浙江省政府与阿里巴巴集团,钉钉,,搜索引擎/sogou/政务钉钉 上线,,2026-03-05 08:25:18
232,前期及时录入全体人员组织架构信息,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:25:23
233,州局机关多点配置蓝牙设备并同时开启网络,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:25:23
234,确保工作在网络,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:25:23
235,应用中心,飞书,,"搜索引擎/bing/""飞书"" 企业客户",,2026-03-05 08:25:50
236,医生等等信息,飞书,,"搜索引擎/bing/""飞书"" 企业客户",,2026-03-05 08:25:50
237,被邵阳市科技,飞书,,"搜索引擎/bing/""飞书"" 企业客户",,2026-03-05 08:25:50
238,北京飞书科技,飞书,,"搜索引擎/sogou/""飞书"" 企业客户",,2026-03-05 08:25:50
239,有限公司,飞书,,"搜索引擎/sogou/""飞书"" 企业客户",,2026-03-05 08:25:50
240,字节跳动这家公司,飞书,,"搜索引擎/sogou/""飞书"" 企业客户",,2026-03-05 08:25:50
241,在我接触到的信息,飞书,,"搜索引擎/sogou/""飞书"" 企业客户",,2026-03-05 08:25:50
242,但从另一条网络,飞书,,"搜索引擎/sogou/""飞书"" 企业客户",,2026-03-05 08:25:50
243,企业信息,飞书,,"搜索引擎/sogou/""飞书"" 企业客户",,2026-03-05 08:25:50
244,理想汽车,飞书,,"搜索引擎/sogou/""飞书"" 企业客户",,2026-03-05 08:25:50
245,猛士科技,飞书,,"搜索引擎/sogou/""飞书"" 企业客户",,2026-03-05 08:25:50
246,新浪科技,飞书,,"搜索引擎/sogou/""飞书"" 企业客户",,2026-03-05 08:25:50
247,飞书商业,飞书,,"搜索引擎/sogou/""飞书"" 企业客户",,2026-03-05 08:25:50
248,此前为一个公司,飞书,,mp.weixin.qq.com/文章提取,,2026-03-05 08:27:05
249,飞书首席商业,飞书,,mp.weixin.qq.com/文章提取,,2026-03-05 08:27:05
250,韵达又是抖音的物流,飞书,,"搜索引擎/sogou/""飞书"" 合作案例",,2026-03-05 08:27:23
251,成为公司,飞书,,"搜索引擎/sogou/""飞书"" 合作案例",,2026-03-05 08:27:23
252,飞书助力逸动科技,飞书,,"搜索引擎/sogou/""飞书"" 合作案例",,2026-03-05 08:27:23
253,打造新能源,飞书,,"搜索引擎/sogou/""飞书"" 合作案例",,2026-03-05 08:27:23
254,公牛集团,飞书,,"搜索引擎/sogou/""飞书"" 合作案例",,2026-03-05 08:27:23
255,共同打造先进制造,飞书,,"搜索引擎/sogou/""飞书"" 合作案例",,2026-03-05 08:27:23
256,小米公司,飞书,,"搜索引擎/sogou/""飞书"" 合作案例",,2026-03-05 08:27:23
257,打造统一信息,飞书,,"搜索引擎/sogou/""飞书"" 合作案例",,2026-03-05 08:27:23
258,扬子江药业集团,飞书,,"搜索引擎/sogou/""飞书"" 合作案例",,2026-03-05 08:27:23
259,罗永浩新公司,飞书,,"搜索引擎/sogou/""飞书"" 使用飞书的企业",,2026-03-05 08:27:46
260,博腾正在建设,飞书,,"搜索引擎/sogou/""飞书"" 使用飞书的企业",,2026-03-05 08:27:46
261,的智能制造,飞书,,"搜索引擎/sogou/""飞书"" 使用飞书的企业",,2026-03-05 08:27:46
262,双胞胎集团,飞书,,"搜索引擎/sogou/""飞书"" 使用飞书的企业",,2026-03-05 08:27:46
263,数字化建设,飞书,,"搜索引擎/sogou/""飞书"" 使用飞书的企业",,2026-03-05 08:27:46
264,为什么说字节跳动是活在飞书上的公司,飞书,,"搜索引擎/sogou/""飞书"" 使用飞书的企业",,2026-03-05 08:27:46
265,厂家信息,飞书,,mp.weixin.qq.com/文章提取,,2026-03-05 08:27:50
266,规格等繁多的信息,飞书,,mp.weixin.qq.com/文章提取,,2026-03-05 08:27:50
267,容易造成信息,飞书,,mp.weixin.qq.com/文章提取,,2026-03-05 08:27:50
268,查看柱子信息,飞书,,mp.weixin.qq.com/文章提取,,2026-03-05 08:27:50
269,保障信息,飞书,,mp.weixin.qq.com/文章提取,,2026-03-05 08:27:50
270,博腾通过多个即时通信,飞书,,mp.weixin.qq.com/文章提取,,2026-03-05 08:27:50
271,这些工具的信息,飞书,,mp.weixin.qq.com/文章提取,,2026-03-05 08:27:50
272,且容易造成信息,飞书,,mp.weixin.qq.com/文章提取,,2026-03-05 08:27:50
273,双汇发展与飞书科技,飞书,,"搜索引擎/sogou/""飞书"" 签约 合作",,2026-03-05 08:28:12
274,高途集团,飞书,,"搜索引擎/sogou/""飞书"" 签约 合作",,2026-03-05 08:28:12
275,信息化工作委员会,飞书,,mp.weixin.qq.com/文章提取,,2026-03-05 08:28:16
276,上海律协信息,飞书,,mp.weixin.qq.com/文章提取,,2026-03-05 08:28:16
277,化工作委员会,飞书,,mp.weixin.qq.com/文章提取,,2026-03-05 08:28:16
278,项目建设,飞书,,mp.weixin.qq.com/文章提取,,2026-03-05 08:28:16
279,共同探索科技,飞书,,mp.weixin.qq.com/文章提取,,2026-03-05 08:28:16
280,飞书模板中心,飞书,,"搜索引擎/sogou/""飞书"" 定制版",,2026-03-05 08:28:39
281,腾讯软件中心,飞书,,"搜索引擎/sogou/""飞书"" 定制版",,2026-03-05 08:28:39
282,书的五个版本对应不同的功能适合不同规模的公司,飞书,,"搜索引擎/sogou/""飞书"" 定制版",,2026-03-05 08:28:39
283,专业版在商业,飞书,,mp.weixin.qq.com/文章提取,,2026-03-05 08:28:43
284,旗舰版在商业,飞书,,mp.weixin.qq.com/文章提取,,2026-03-05 08:28:43
285,建议选择商业,飞书,,mp.weixin.qq.com/文章提取,,2026-03-05 08:28:43
286,呼叫中心,飞书,,mp.weixin.qq.com/文章提取,,2026-03-05 08:28:43
287,社群成员以企业信息,飞书,,mp.weixin.qq.com/文章提取,,2026-03-05 08:28:43
288,部分内容来源于网络,飞书,,mp.weixin.qq.com/文章提取,,2026-03-05 08:28:43
289,飞书们困于商业,飞书,,"搜索引擎/sogou/""飞书"" site:36kr.com",,2026-03-05 08:29:06
290,浙江省大数据发展管理局,钉钉,政务,政务种子数据,浙政钉,2026-03-05 08:29:11
291,广东省政务服务数据管理局,钉钉,政务,政务种子数据,粤政易,2026-03-05 08:29:11
292,江西省信息中心,钉钉,政务,政务种子数据,赣政通,2026-03-05 08:29:11
293,湖北省政务管理办公室,钉钉,政务,政务种子数据,鄂汇办,2026-03-05 08:29:11
294,江苏省大数据管理中心,钉钉,政务,政务种子数据,苏政通,2026-03-05 08:29:11
295,河南省大数据管理局,钉钉,政务,政务种子数据,豫政通,2026-03-05 08:29:11
296,山东省大数据局,钉钉,政务,政务种子数据,鲁政通,2026-03-05 08:29:11
297,福建省数字福建建设领导小组办公室,钉钉,政务,政务种子数据,闽政通,2026-03-05 08:29:11
298,安徽省数据资源管理局,钉钉,政务,政务种子数据,皖政通,2026-03-05 08:29:11
299,巴打造的政务,钉钉,政务,政务搜索/sogou,巴打造的政务,2026-03-05 08:29:32
300,整合了政务,钉钉,政务,政务搜索/sogou,整合了政务,2026-03-05 08:29:32
301,钉钉下载政务,钉钉,政务,政务搜索/sogou,钉钉下载政务,2026-03-05 08:29:32
302,政务钉钉下载政务钉钉,钉钉,政务,政务搜索/sogou,政务钉钉下载政务钉钉,2026-03-05 08:29:32
303,浙江省政府,钉钉,政务,baike.sogou.com/政务页面,巴打造的政务,2026-03-05 08:29:54
304,互联网大会丨浙江省政府,钉钉,政务,baike.sogou.com/政务页面,巴打造的政务,2026-03-05 08:29:54
305,政务协同办,钉钉,政务,baike.sogou.com/政务页面,巴打造的政务,2026-03-05 08:29:54
306,阿里发布政务,钉钉,政务,baike.sogou.com/政务页面,阿里发布政务,2026-03-05 08:29:54
307,化转型暨政务,钉钉,政务,baike.sogou.com/政务页面,化转型暨政务,2026-03-05 08:29:54
308,联合阿里发布政务钉钉,钉钉,政务,baike.sogou.com/政务页面,联合阿里发布政务钉钉,2026-03-05 08:29:54
309,里巴巴打造的政务钉钉,钉钉,政务,baike.sogou.com/政务页面,里巴巴打造的政务钉钉,2026-03-05 08:29:54
310,数字化转型暨政务钉钉,钉钉,政务,baike.sogou.com/政务页面,数字化转型暨政务钉钉,2026-03-05 08:29:54
311,浙政钉,钉钉,政务,政务搜索/sogou,浙政钉,2026-03-05 08:30:14
312,迎下载浙政钉,钉钉,政务,政务搜索/sogou,迎下载浙政钉,2026-03-05 08:30:14
313,用习惯的政务,钉钉,政务,政务搜索/sogou,用习惯的政务,2026-03-05 08:30:14
314,返回顶部,钉钉,政务,xiazai.sogou.com/政务页面,浙政钉,2026-03-05 08:30:25
315,储在浙江政务,钉钉,政务,xiazai.sogou.com/政务页面,储在浙江政务,2026-03-05 08:30:25
316,确保政务,钉钉,政务,xiazai.sogou.com/政务页面,确保政务,2026-03-05 08:30:25
317,面向政务,钉钉,政务,xiazai.sogou.com/政务页面,面向政务,2026-03-05 08:30:25
